SnapshotDate,StoreID,ProductID,OnHandUnits,ReorderPoint,StockoutFlag
2024-11-15,14,227,190,11,0
2024-11-12,14,125,156,11,0
2024-05-25,19,312,153,24,0
2024-09-03,6,80,9,38,0
2024-01-29,29,294,180,15,0
2024-01-25,13,1,3,46,0
2024-10-13,13,346,155,29,0
2024-09-28,27,333,174,23,0
2024-03-13,16,237,168,30,0
2024-04-27,24,399,73,35,0
2024-01-01,18,112,154,21,0
2024-09-05,24,92,152,34,0
2024-01-13,14,294,29,59,0
2024-03-04,7,314,102,39,0
2024-11-13,26,4,79,33,0
2024-02-07,11,12,185,59,0
2024-03-23,22,22,100,14,0
2024-03-21,26,189,51,23,0
2024-09-06,30,280,58,56,0
2024-12-19,15,20,174,27,0
2024-10-29,3,111,142,49,0
2024-10-04,5,210,177,39,0
2024-07-07,8,189,39,23,0
2024-04-25,13,9,92,21,0
2024-06-03,2,45,125,11,0
2024-12-21,4,394,156,29,0
2024-12-02,12,275,163,44,0
2024-04-08,20,240,191,47,0
2024-05-12,12,20,131,44,0
2024-05-11,11,53,35,22,0
2024-10-28,20,108,230,14,0
2024-06-22,23,190,248,16,0
2024-04-30,28,317,5,12,0
2024-12-01,8,61,156,27,0
2024-01-08,25,308,148,42,0
2024-06-04,26,197,145,59,0
2024-05-08,27,179,157,42,0
2024-10-04,17,216,102,24,0
2024-11-09,30,243,113,55,0
2024-12-28,7,352,3,22,0
2024-02-23,13,275,116,14,0
2024-07-11,10,278,57,46,0
2024-02-13,23,362,152,31,0
2024-10-04,15,48,200,57,0
2024-06-07,25,96,238,26,0
2024-01-01,25,268,227,58,0
2024-07-16,3,247,200,13,0
2024-06-07,14,192,2,27,0
2024-06-13,22,171,89,12,0
2024-07-09,20,115,213,24,0
2024-05-03,17,271,232,53,0
2024-10-24,23,352,209,48,0
2024-11-07,23,270,23,46,0
2024-12-21,15,152,228,37,0
2024-07-19,14,297,135,20,0
2024-09-29,22,120,216,29,0
2024-11-21,30,156,182,36,0
2024-04-15,1,396,50,32,0
2024-03-07,2,349,140,48,0
2024-02-25,10,207,162,31,0
2024-07-20,30,191,62,40,0
2024-08-16,29,331,187,39,0
2024-08-09,11,164,175,56,0
2024-12-22,9,321,92,40,0
2024-10-17,21,123,239,50,0
2024-03-31,29,371,44,33,0
2024-05-25,23,58,248,14,0
2024-01-17,24,216,129,39,0
