TransactionID,Date,StoreID,ProductID,Units,DiscountPct,UnitPrice,UnitCost,Revenue,COGS,GrossProfit
1,2024-05-04,8,189,1,0.2,72.27,35.3,72.27,35.3,36.97
2,2024-04-06,21,265,2,0.05,86.89,62.2,173.78,124.4,49.38
3,2024-12-05,20,102,3,0.0,216.67,159.67,650.01,479.01,171.0
4,2024-08-10,10,326,5,0.2,115.57,8.35,577.85,41.75,536.1
5,2024-06-01,4,187,5,0.0,90.08,32.77,450.4,163.85,286.55
6,2024-03-15,3,312,3,0.05,143.65,121.75,430.95,365.25,65.7
7,2024-10-19,14,100,4,0.1,123.01,92.78,492.04,371.12,120.92
8,2024-11-20,10,386,3,0.0,252.94,65.71,758.82,197.13,561.69
9,2024-01-12,2,169,3,0.0,145.04,66.62,435.12,199.86,235.26
10,2024-12-05,21,263,6,0.0,80.03,34.58,480.18,207.48,272.7
11,2024-09-12,29,215,3,0.0,90.42,52.59,271.26,157.77,113.49
12,2024-02-06,30,240,3,0.0,179.31,155.92,537.93,467.76,70.17
13,2024-10-01,4,103,3,0.0,190.75,165.87,572.25,497.61,74.64
14,2024-02-09,6,363,5,0.0,214.37,9.48,1071.85,47.4,1024.45
15,2024-01-19,13,84,2,0.1,110.38,57.75,220.76,115.5,105.26
16,2024-02-12,28,145,2,0.0,118.06,26.35,236.12,52.7,183.42
17,2024-06-16,18,173,5,0.0,100.49,87.38,502.45,436.9,65.55
18,2024-08-14,14,198,4,0.1,118.45,114.44,473.8,457.76,16.04
19,2024-05-28,28,91,2,0.0,145.66,126.66,291.32,253.32,38.0
20,2024-02-14,20,344,3,0.0,213.88,1.22,641.64,3.66,637.98
21,2024-03-13,30,247,3,0.0,57.27,1.81,171.81,5.43,166.38
22,2024-11-07,26,392,2,0.0,121.98,75.11,243.96,150.22,93.74
23,2024-12-17,30,141,4,0.05,229.54,178.05,918.16,712.2,205.96
24,2024-10-02,17,169,1,0.1,130.54,66.62,130.54,66.62,63.92
25,2024-02-07,12,229,2,0.05,182.91,100.43,365.82,200.86,164.96
26,2024-10-26,2,236,4,0.1,152.05,20.56,608.2,82.24,525.96
27,2024-09-09,22,70,4,0.15,89.93,92.0,359.72,368.0,-8.28
28,2024-07-11,8,336,2,0.0,144.88,125.98,289.76,251.96,37.8
29,2024-02-22,1,398,3,0.05,162.71,30.62,488.13,91.86,396.27
30,2024-12-29,25,208,4,0.2,79.62,21.42,318.48,85.68,232.8
31,2024-06-10,13,152,4,0.0,66.09,27.97,264.36,111.88,152.48
32,2024-01-17,17,162,2,0.05,108.41,44.62,216.82,89.24,127.58
33,2024-03-17,24,25,2,0.0,235.17,109.46,470.34,218.92,251.42
34,2024-05-26,10,26,4,0.15,141.22,144.47,564.88,577.88,-13.0
35,2024-01-23,25,150,3,0.05,85.93,78.65,257.79,235.95,21.84
36,2024-04-28,18,85,1,0.0,56.98,7.45,56.98,7.45,49.53
37,2024-06-19,18,119,3,0.1,72.5,3.63,217.5,10.89,206.61
38,2024-12-12,9,133,3,0.1,113.05,70.42,339.15,211.26,127.89
39,2024-02-01,24,72,2,0.0,98.76,85.88,197.52,171.76,25.76
40,2024-07-29,8,161,7,0.1,126.39,16.06,884.73,112.42,772.31
41,2024-11-30,19,15,4,0.15,34.84,6.19,139.36,24.76,114.6
42,2024-10-21,25,311,2,0.0,205.91,179.05,411.82,358.1,53.72
43,2024-12-03,4,278,2,0.1,136.33,89.95,272.66,179.9,92.76
44,2024-03-03,13,67,4,0.0,243.35,117.21,973.4,468.84,504.56
45,2024-10-19,21,66,1,0.05,223.47,126.26,223.47,126.26,97.21
46,2024-12-23,9,29,5,0.1,241.56,11.24,1207.8,56.2,1151.6
47,2024-04-29,1,74,2,0.0,107.24,25.0,214.48,50.0,164.48
48,2024-07-01,13,236,3,0.0,168.94,20.56,506.82,61.68,445.14
49,2024-07-12,15,31,3,0.0,192.14,167.08,576.42,501.24,75.18
50,2024-06-29,28,4,2,0.1,139.69,20.8,279.38,41.6,237.78
51,2024-04-15,25,229,2,0.0,207.94,100.43,415.88,200.86,215.02
52,2024-12-20,6,373,3,0.05,137.48,106.64,412.44,319.92,92.52
53,2024-12-15,9,188,2,0.0,83.67,61.66,167.34,123.32,44.02
54,2024-05-18,6,103,3,0.0,190.75,165.87,572.25,497.61,74.64
55,2024-10-20,28,333,5,0.1,23.9,20.98,119.5,104.9,14.6
56,2024-05-25,11,334,2,0.0,189.78,69.83,379.56,139.66,239.9
57,2024-10-17,27,335,1,0.0,253.98,11.83,253.98,11.83,242.15
58,2024-08-01,2,152,4,0.15,56.18,27.97,224.72,111.88,112.84
59,2024-06-20,17,17,1,0.0,229.14,26.6,229.14,26.6,202.54
60,2024-02-16,3,400,4,0.0,191.56,127.75,766.24,511.0,255.24
61,2024-08-26,17,359,3,0.05,108.84,9.69,326.52,29.07,297.45
62,2024-04-27,1,201,2,0.0,107.4,86.47,214.8,172.94,41.86
63,2024-03-20,5,314,2,0.2,209.68,162.56,419.36,325.12,94.24
64,2024-03-11,5,386,3,0.05,219.93,65.71,659.79,197.13,462.66
65,2024-12-24,22,24,4,0.1,183.95,10.25,735.8,41.0,694.8
66,2024-02-07,20,188,3,0.0,70.91,61.66,212.73,184.98,27.75
67,2024-10-18,17,345,2,0.0,109.5,91.96,219.0,183.92,35.08
68,2024-11-12,6,286,3,0.2,183.33,62.45,549.99,187.35,362.64
69,2024-01-12,8,45,5,0.0,56.89,49.47,284.45,247.35,37.1
70,2024-08-03,12,26,3,0.1,149.53,144.47,448.59,433.41,15.18
71,2024-07-29,30,131,3,0.05,135.56,124.09,406.68,372.27,34.41
72,2024-05-10,22,178,2,0.1,109.81,106.1,219.62,212.2,7.42
73,2024-08-31,1,50,1,0.0,250.08,111.32,250.08,111.32,138.76
74,2024-05-29,1,109,1,0.1,92.58,89.45,92.58,89.45,3.13
75,2024-06-09,11,205,6,0.05,189.45,173.41,1136.7,1040.46,96.24
76,2024-06-06,7,318,5,0.05,195.71,19.24,978.55,96.2,882.35
77,2024-10-19,13,227,7,0.0,246.46,143.07,1725.22,1001.49,723.73
78,2024-08-19,30,213,4,0.1,180.71,174.6,722.84,698.4,24.44
79,2024-05-18,6,297,3,0.05,146.25,133.87,438.75,401.61,37.14
80,2024-12-04,18,257,4,0.0,279.49,153.75,1117.96,615.0,502.96
81,2024-10-19,15,91,1,0.05,138.38,126.66,138.38,126.66,11.72
82,2024-12-06,20,102,7,0.05,205.84,159.67,1440.88,1117.69,323.19
83,2024-09-23,17,47,3,0.1,182.64,176.46,547.92,529.38,18.54
84,2024-05-22,16,47,5,0.1,182.64,176.46,913.2,882.3,30.9
85,2024-10-09,9,332,2,0.1,121.72,10.12,243.44,20.24,223.2
86,2024-04-30,29,273,3,0.0,223.03,179.57,669.09,538.71,130.38
87,2024-04-08,9,257,6,0.0,255.81,153.75,1534.86,922.5,612.36
88,2024-06-13,5,177,3,0.15,160.12,163.81,480.36,491.43,-11.07
89,2024-12-19,3,37,10,0.0,233.25,23.36,2332.5,233.6,2098.9
90,2024-07-26,3,167,3,0.0,247.93,137.56,743.79,412.68,331.11
91,2024-05-20,11,62,4,0.2,152.5,26.98,610.0,107.92,502.08
92,2024-06-17,25,386,5,0.05,203.64,65.71,1018.2,328.55,689.65
93,2024-04-16,5,162,5,0.15,104.76,44.62,523.8,223.1,300.7
94,2024-08-28,1,48,1,0.0,178.11,110.47,178.11,110.47,67.64
95,2024-05-07,16,114,1,0.0,256.02,51.23,256.02,51.23,204.79
96,2024-07-21,17,258,5,0.15,53.29,54.51,266.45,272.55,-6.1
